iter	Passed	Remaining
0	2	251
1	4	223
2	6	204
3	7	187
4	9	187
5	11	177
6	12	167
7	14	161
8	15	155
9	16	151
10	18	146
11	19	141
12	20	137
13	21	133
14	22	130
15	24	126
16	25	123
17	26	120
18	27	117
19	28	113
20	29	110
21	31	110
22	32	109
23	33	106
24	35	106
25	36	104
26	37	102
27	38	100
28	39	97
29	40	95
30	42	93
31	43	91
32	43	89
33	44	87
34	45	85
35	46	83
36	47	81
37	48	79
38	50	78
39	50	76
40	51	74
41	52	72
42	53	70
43	54	69
44	55	67
45	56	66
46	63	71
47	69	75
48	74	77
49	77	77
50	80	76
51	82	76
52	84	75
53	86	73
54	87	71
55	89	70
56	91	68
57	92	67
58	94	65
59	95	63
60	96	61
61	98	60
62	99	58
63	100	56
64	101	54
65	102	52
66	103	51
67	104	49
68	105	47
69	106	45
70	107	44
71	109	42
72	109	40
73	111	39
74	111	37
75	112	35
76	113	34
77	115	32
78	116	30
79	116	29
80	117	27
81	118	26
82	119	24
83	120	23
84	121	21
85	123	20
86	124	18
87	125	17
88	126	15
89	127	14
90	135	13
91	140	12
92	144	10
93	146	9
94	149	7
95	151	6
96	153	4
97	155	3
98	157	1
99	158	0
