iter	Passed	Remaining
0	167	167189
1	171	85390
2	174	58097
3	177	44179
4	180	35880
5	182	30201
6	184	26151
7	186	23152
8	188	20787
9	190	18858
10	192	17275
11	193	15937
12	194	14799
13	196	13826
14	197	12980
15	199	12251
16	200	11589
17	201	11008
18	203	10489
19	204	10019
20	205	9590
21	206	9193
22	208	8835
23	209	8504
24	210	8197
25	211	7916
26	212	7655
27	213	7409
28	214	7187
29	216	6987
30	217	6798
31	218	6614
32	219	6440
33	220	6277
34	222	6124
35	223	5977
36	224	5840
37	225	5709
38	226	5585
39	227	5468
40	229	5356
41	230	5252
42	231	5156
43	232	5061
44	234	4968
45	235	4882
46	236	4796
47	237	4717
48	239	4639
49	240	4566
50	241	4497
51	242	4428
52	244	4360
53	245	4296
54	246	4240
55	247	4180
56	249	4119
57	250	4061
58	251	4006
59	252	3951
60	253	3899
61	254	3848
62	255	3802
63	256	3756
64	258	3711
65	259	3668
66	260	3627
67	261	3589
68	263	3551
69	264	3513
70	265	3475
71	266	3439
72	268	3403
73	269	3367
74	270	3335
75	271	3302
76	272	3269
77	273	3238
78	275	3207
79	276	3183
80	278	3155
81	279	3125
82	279	3090
83	280	3063
84	282	3037
85	283	3011
86	284	2987
87	285	2963
88	287	2938
89	288	2913
90	289	2889
91	290	2866
92	291	2846
93	293	2824
94	294	2802
95	295	2780
96	296	2760
97	297	2739
98	298	2719
99	300	2700
100	301	2679
101	302	2660
102	303	2642
103	304	2624
104	305	2607
105	307	2591
106	308	2574
107	309	2559
108	311	2543
109	312	2527
110	313	2512
111	314	2497
112	316	2481
113	317	2466
114	318	2451
115	319	2436
116	320	2420
117	321	2406
118	323	2393
119	324	2378
120	325	2365
121	326	2350
122	327	2338
123	329	2325
124	330	2312
125	331	2299
126	332	2284
127	333	2272
128	334	2260
129	336	2249
130	337	2239
131	338	2226
132	339	2214
133	340	2203
134	342	2192
135	343	2181
136	344	2171
137	345	2160
138	346	2149
139	348	2138
140	349	2128
141	350	2114
142	351	2105
143	352	2097
144	353	2087
145	355	2077
146	356	2067
147	357	2057
148	358	2047
149	359	2038
150	360	2028
151	362	2019
152	363	2010
153	364	2001
154	365	1992
155	366	1985
156	368	1977
157	369	1968
158	371	1962
159	372	1955
160	373	1945
161	374	1937
162	375	1929
163	376	1921
164	378	1914
165	379	1906
166	380	1898
167	381	1891
168	383	1885
169	384	1879
170	385	1871
171	387	1864
172	388	1857
173	389	1850
174	390	1842
175	392	1835
176	393	1828
177	394	1820
178	395	1813
179	396	1808
180	398	1802
181	399	1796
182	400	1789
183	402	1782
184	403	1775
185	404	1768
186	405	1762
187	406	1755
188	407	1749
189	408	1742
190	409	1736
191	411	1730
192	412	1724
193	413	1719
194	414	1712
195	416	1706
196	417	1700
197	418	1694
198	419	1688
199	420	1681
200	421	1676
201	422	1669
202	423	1664
203	424	1658
204	426	1652
205	427	1647
206	428	1642
207	429	1636
208	430	1631
209	432	1626
210	433	1621
211	434	1615
212	435	1610
213	437	1605
214	438	1600
215	439	1595
216	440	1589
217	441	1584
218	443	1580
219	444	1575
220	445	1570
221	446	1565
222	447	1560
223	448	1555
224	449	1549
225	451	1544
226	452	1540
227	453	1535
228	454	1530
229	455	1525
230	456	1521
231	458	1517
232	459	1512
233	460	1508
234	462	1503
235	463	1499
236	464	1495
237	465	1490
238	466	1486
239	467	1481
240	468	1477
241	470	1472
242	471	1468
243	472	1464
244	473	1460
245	475	1456
246	476	1452
247	477	1447
248	478	1443
249	479	1439
250	480	1434
251	482	1430
252	483	1426
253	484	1422
254	485	1418
255	486	1414
256	488	1411
257	489	1407
258	490	1403
259	491	1399
260	492	1395
261	493	1391
262	495	1387
263	496	1383
264	497	1379
265	498	1375
266	499	1371
267	500	1367
268	502	1364
269	503	1361
270	504	1358
271	506	1355
272	507	1351
273	508	1348
274	509	1344
275	511	1340
276	512	1337
277	513	1333
278	515	1330
279	516	1327
280	517	1324
281	518	1321
282	520	1317
283	521	1313
284	522	1310
285	523	1307
286	524	1303
287	525	1300
288	527	1297
289	528	1293
290	529	1291
291	531	1287
292	532	1284
293	534	1282
294	535	1279
295	536	1275
296	537	1272
297	538	1269
298	540	1266
299	541	1262
300	542	1259
301	543	1256
302	544	1253
303	546	1250
304	547	1247
305	548	1244
306	550	1241
307	551	1238
308	552	1235
309	553	1232
310	554	1229
311	555	1225
312	556	1222
313	558	1219
314	559	1216
315	560	1213
316	561	1210
317	562	1207
318	564	1204
319	565	1201
320	566	1198
321	567	1195
322	569	1192
323	570	1189
324	571	1186
325	572	1184
326	573	1181
327	575	1178
328	576	1175
329	577	1172
330	578	1169
331	580	1167
332	581	1164
333	582	1161
334	583	1158
335	584	1155
336	585	1152
337	587	1150
338	588	1147
339	589	1144
340	590	1141
341	592	1139
342	593	1136
343	594	1133
344	595	1131
345	596	1128
346	598	1125
347	599	1122
348	600	1119
349	601	1117
350	602	1114
351	603	1111
352	604	1108
353	606	1105
354	607	1103
355	608	1100
356	609	1098
357	610	1095
358	612	1092
359	613	1090
360	614	1087
361	616	1085
362	617	1083
363	618	1080
364	619	1078
365	620	1075
366	622	1073
367	623	1070
368	624	1068
369	625	1065
370	626	1062
371	628	1060
372	629	1058
373	630	1055
374	631	1053
375	633	1050
376	634	1047
377	635	1045
378	636	1042
379	637	1040
380	638	1037
381	640	1035
382	641	1033
383	642	1030
384	643	1028
385	645	1026
386	646	1023
387	647	1021
388	648	1018
389	650	1016
390	651	1014
391	652	1011
392	653	1009
393	654	1007
394	656	1005
395	657	1002
396	658	1000
397	659	998
398	661	995
399	662	993
400	663	990
401	664	988
402	665	986
403	666	983
404	667	981
405	669	979
406	670	976
407	671	974
408	672	972
409	674	970
410	675	967
411	676	965
412	677	962
413	678	960
414	679	958
415	680	955
416	682	953
417	683	951
418	684	949
419	686	947
420	687	945
421	688	942
422	689	940
423	690	938
424	691	936
425	692	933
426	694	931
427	695	929
428	696	926
429	697	924
430	698	922
431	700	920
432	701	918
433	702	916
434	703	914
435	705	912
436	706	909
437	707	907
438	708	905
439	709	903
440	710	900
441	711	898
442	712	896
443	714	894
444	715	892
445	716	890
446	718	888
447	719	886
448	720	884
449	721	882
450	722	880
451	724	877
452	725	875
453	726	873
454	727	871
455	729	869
456	730	868
457	732	867
458	733	865
459	735	862
460	736	860
461	737	858
462	738	856
463	739	854
464	740	852
465	742	850
466	743	848
467	744	846
468	745	844
469	747	842
470	748	840
471	749	838
472	750	836
473	751	834
474	753	832
475	754	830
476	755	828
477	756	826
478	757	823
479	758	821
480	760	820
481	761	818
482	762	816
483	763	814
484	764	812
485	766	810
486	767	808
487	768	806
488	769	804
489	770	802
490	771	799
491	772	797
492	773	795
493	775	794
494	776	792
495	777	790
496	779	788
497	780	786
498	781	785
499	783	783
500	784	781
501	785	779
502	786	777
503	788	775
504	789	773
505	790	772
506	792	770
507	793	768
508	794	766
509	795	764
510	797	762
511	798	760
512	799	758
513	800	756
514	801	754
515	802	752
516	804	751
517	805	749
518	806	747
519	807	745
520	808	743
521	810	742
522	811	740
523	812	738
524	813	736
525	814	734
526	816	732
527	817	730
528	818	728
529	819	726
530	820	725
531	822	723
532	823	721
533	824	719
534	825	717
535	826	715
536	827	713
537	828	711
538	830	709
539	831	708
540	832	706
541	833	704
542	835	702
543	836	701
544	837	699
545	838	697
546	840	695
547	841	694
548	842	692
549	844	690
550	845	688
551	846	687
552	847	685
553	848	683
554	850	681
555	851	680
556	852	678
557	854	676
558	855	674
559	856	672
560	857	671
561	858	669
562	859	667
563	861	665
564	862	663
565	863	662
566	865	660
567	866	659
568	867	657
569	869	655
570	870	653
571	871	652
572	873	650
573	874	649
574	875	647
575	876	645
576	878	643
577	879	642
578	881	640
579	882	639
580	883	637
581	884	635
582	886	633
583	887	632
584	888	630
585	889	628
586	890	626
587	891	624
588	893	623
589	894	621
590	895	619
591	896	617
592	897	616
593	899	614
594	900	612
595	901	611
596	904	610
597	905	608
598	906	607
599	908	605
600	909	603
601	910	602
602	912	600
603	913	598
604	914	597
605	915	595
606	917	593
607	918	592
608	919	590
609	920	588
610	922	587
611	923	585
612	924	583
613	925	582
614	927	580
615	928	578
616	929	577
617	931	575
618	933	574
619	934	572
620	935	570
621	936	569
622	937	567
623	938	565
624	940	564
625	941	562
626	942	560
627	944	559
628	945	557
629	947	556
630	948	554
631	949	552
632	950	551
633	951	549
634	953	547
635	954	546
636	955	544
637	957	543
638	958	541
639	959	539
640	961	538
641	962	536
642	963	535
643	965	533
644	966	531
645	967	530
646	968	528
647	969	526
648	971	525
649	972	523
650	973	522
651	974	520
652	976	518
653	977	517
654	978	515
655	979	513
656	981	512
657	982	510
658	983	508
659	984	507
660	985	505
661	987	504
662	988	502
663	989	500
664	991	499
665	992	497
666	993	495
667	994	494
668	995	492
669	996	490
670	997	489
671	999	487
672	1000	486
673	1001	484
674	1002	482
675	1004	481
676	1005	479
677	1006	478
678	1007	476
679	1009	474
680	1010	473
681	1011	471
682	1012	469
683	1013	468
684	1014	466
685	1016	465
686	1017	463
687	1018	462
688	1019	460
689	1021	458
690	1022	457
691	1023	455
692	1024	453
693	1025	452
694	1027	450
695	1028	449
696	1029	447
697	1030	445
698	1031	444
699	1033	442
700	1034	441
701	1035	439
702	1036	438
703	1038	436
704	1039	434
705	1040	433
706	1041	431
707	1042	430
708	1043	428
709	1044	426
710	1046	425
711	1047	423
712	1048	422
713	1050	420
714	1051	419
715	1052	417
716	1053	415
717	1054	414
718	1055	412
719	1057	411
720	1058	409
721	1059	408
722	1060	406
723	1062	405
724	1063	403
725	1064	401
726	1066	400
727	1067	398
728	1068	397
729	1069	395
730	1070	393
731	1071	392
732	1072	390
733	1074	389
734	1075	387
735	1076	386
736	1077	384
737	1079	383
738	1080	381
739	1081	380
740	1083	378
741	1084	376
742	1085	375
743	1086	373
744	1087	372
745	1088	370
746	1089	369
747	1091	367
748	1093	366
749	1094	364
750	1095	363
751	1096	361
752	1098	360
753	1099	358
754	1100	357
755	1102	355
756	1103	354
757	1104	352
758	1105	351
759	1107	349
760	1108	348
761	1109	346
762	1110	345
763	1112	343
764	1113	342
765	1114	340
766	1115	338
767	1116	337
768	1118	335
769	1119	334
770	1120	332
771	1121	331
772	1123	329
773	1124	328
774	1125	326
775	1126	325
776	1127	323
777	1129	322
778	1130	320
779	1131	319
780	1132	317
781	1133	316
782	1135	314
783	1136	313
784	1137	311
785	1138	310
786	1139	308
787	1141	307
788	1142	305
789	1143	303
790	1144	302
791	1145	300
792	1146	299
793	1148	297
794	1149	296
795	1150	294
796	1151	293
797	1152	291
798	1154	290
799	1155	288
800	1156	287
801	1157	285
802	1158	284
803	1160	282
804	1161	281
805	1162	279
806	1163	278
807	1164	276
808	1165	275
809	1167	273
810	1168	272
811	1169	270
812	1170	269
813	1172	267
814	1173	266
815	1174	264
816	1175	263
817	1176	261
818	1177	260
819	1179	258
820	1180	257
821	1181	255
822	1182	254
823	1184	252
824	1185	251
825	1186	249
826	1187	248
827	1189	247
828	1190	245
829	1191	244
830	1192	242
831	1194	241
832	1195	239
833	1196	238
834	1198	236
835	1199	235
836	1200	233
837	1201	232
838	1202	230
839	1203	229
840	1205	227
841	1206	226
842	1207	224
843	1208	223
844	1209	221
845	1210	220
846	1212	218
847	1213	217
848	1214	216
849	1215	214
850	1217	213
851	1218	211
852	1219	210
853	1221	208
854	1222	207
855	1223	205
856	1224	204
857	1225	202
858	1227	201
859	1228	199
860	1230	198
861	1231	197
862	1232	195
863	1233	194
864	1234	192
865	1235	191
866	1237	189
867	1238	188
868	1239	186
869	1240	185
870	1241	183
871	1242	182
872	1244	181
873	1245	179
874	1246	178
875	1248	176
876	1249	175
877	1250	173
878	1251	172
879	1252	170
880	1253	169
881	1255	167
882	1256	166
883	1257	165
884	1258	163
885	1260	162
886	1261	160
887	1262	159
888	1263	157
889	1264	156
890	1266	154
891	1267	153
892	1268	151
893	1269	150
894	1270	149
895	1272	147
896	1273	146
897	1274	144
898	1276	143
899	1277	141
900	1278	140
901	1279	139
902	1280	137
903	1282	136
904	1283	134
905	1284	133
906	1285	131
907	1287	130
908	1288	128
909	1289	127
910	1290	126
911	1292	124
912	1293	123
913	1294	121
914	1295	120
915	1296	118
916	1297	117
917	1299	116
918	1300	114
919	1301	113
920	1302	111
921	1304	110
922	1305	108
923	1306	107
924	1307	106
925	1308	104
926	1310	103
927	1311	101
928	1312	100
929	1313	98
930	1314	97
931	1315	95
932	1317	94
933	1318	93
934	1319	91
935	1320	90
936	1321	88
937	1323	87
938	1324	86
939	1325	84
940	1326	83
941	1327	81
942	1328	80
943	1330	78
944	1331	77
945	1332	76
946	1333	74
947	1334	73
948	1336	71
949	1337	70
950	1338	68
951	1339	67
952	1340	66
953	1341	64
954	1343	63
955	1344	61
956	1345	60
957	1346	59
958	1348	57
959	1349	56
960	1351	54
961	1352	53
962	1353	52
963	1354	50
964	1355	49
965	1356	47
966	1358	46
967	1359	44
968	1360	43
969	1361	42
970	1363	40
971	1364	39
972	1365	37
973	1366	36
974	1367	35
975	1369	33
976	1370	32
977	1371	30
978	1372	29
979	1374	28
980	1375	26
981	1376	25
982	1377	23
983	1379	22
984	1380	21
985	1381	19
986	1382	18
987	1384	16
988	1385	15
989	1386	14
990	1387	12
991	1388	11
992	1390	9
993	1391	8
994	1392	6
995	1393	5
996	1394	4
997	1395	2
998	1397	1
999	1398	0
